weightMatrix_ 1;weightMatrix_ 2;weightMatrix_ 3;weightMatrix_ 4;weightMatrix_ 5;weightMatrix_ 6;weightMatrix_ 7;weightMatrix_ 8;weightMatrix_ 9;weightMatrix_10;weightMatrix_11;weightMatrix_12;weightMatrix_13;weightMatrix_14;weightMatrix_15;weightMatrix_16;weightMatrix_17;weightMatrix_18;weightMatrix_19;weightMatrix_20;weightMatrix_21;weightMatrix_22;weightMatrix_23;weightMatrix_24;weightMatrix_25;weightMatrix_26;weightMatrix_27;weightMatrix_28;weightMatrix_29;weightMatrix_30;weightMatrix_31;weightMatrix_32;weightMatrix_33;weightMatrix_34;weightMatrix_35;weightMatrix_36;weightMatrix_37;weightMatrix_38;weightMatrix_39;weightMatrix_40
-0.694075670065302;-0.691739991871976;-0.687845690134094;-0.681567517871689;-0.671784765024537;-0.657057612612996;-0.635649831244581;-0.605621388875373;-0.565010144784218;-0.512109235754602;-0.445825695780963;-0.366078884788278;-0.274170352691753;-0.173038295063133;-0.067308602003362;0.036923289891429;0.132599837988079;0.212456593508224;0.269920523307505;0.3;0.3;0.269920523307505;0.212456593508225;0.132599837988079;0.036923289891429;-0.0673086020033624;-0.173038295063133;-0.274170352691753;-0.366078884788278;-0.445825695780963;-0.512109235754602;-0.565010144784218;-0.605621388875373;-0.635649831244581;-0.657057612612996;-0.671784765024537;-0.681567517871689;-0.687845690134094;-0.691739991871976;-0.694075670065302
-0.691739991871976;-0.689409801583431;-0.685524649889074;-0.679261228807578;-0.669501461496823;-0.654808911972943;-0.633451430284538;-0.603493542683074;-0.562977718689285;-0.510201105529036;-0.444073305227492;-0.364513867181386;-0.272821283186865;-0.171926845237271;-0.0664455744514815;0.0375414143999308;0.132993161071768;0.212662285319894;0.269991197985393;0.3;0.3;0.269991197985393;0.212662285319894;0.132993161071769;0.0375414143999308;-0.0664455744514819;-0.171926845237271;-0.272821283186865;-0.364513867181386;-0.444073305227492;-0.510201105529036;-0.562977718689285;-0.603493542683074;-0.633451430284538;-0.654808911972943;-0.669501461496823;-0.679261228807578;-0.685524649889074;-0.689409801583431;-0.691739991871976
-0.687845690134094;-0.685524649889074;-0.681654754162126;-0.675415927885522;-0.665694484610412;-0.651059628858704;-0.629786012375633;-0.599945761508298;-0.559589032484042;-0.507019659183065;-0.441151525336183;-0.36190449624846;-0.270571964880764;-0.170073712814839;-0.0650066391971597;0.038572020137726;0.133648952941015;0.213005237521932;0.270109034647012;0.3;0.3;0.270109034647012;0.213005237521932;0.133648952941015;0.038572020137726;-0.0650066391971601;-0.170073712814839;-0.270571964880764;-0.36190449624846;-0.441151525336183;-0.507019659183065;-0.559589032484042;-0.599945761508298;-0.629786012375633;-0.651059628858704;-0.665694484610412;-0.675415927885522;-0.681654754162126;-0.685524649889074;-0.687845690134094
-0.681567517871689;-0.679261228807578;-0.675415927885522;-0.669216751957622;-0.659557092517913;-0.645015247391611;-0.623876833633276;-0.594226230032887;-0.554125984889962;-0.501890711929358;-0.43644119760476;-0.357697816510712;-0.266945741555202;-0.167086197887605;-0.0626868694388988;0.0402335042219104;0.134706183376799;0.213558125599715;0.270299004225713;0.3;0.3;0.270299004225713;0.213558125599715;0.134706183376799;0.0402335042219104;-0.0626868694388992;-0.167086197887604;-0.266945741555201;-0.357697816510712;-0.43644119760476;-0.501890711929358;-0.554125984889962;-0.594226230032887;-0.623876833633276;-0.645015247391611;-0.659557092517913;-0.669216751957622;-0.675415927885522;-0.679261228807578;-0.681567517871689
-0.671784765024537;-0.669501461496823;-0.665694484610412;-0.659557092517913;-0.649993705682142;-0.635596791265365;-0.614669052650221;-0.585313960587765;-0.545613372911291;-0.493898700679596;-0.429101486284393;-0.351142897903598;-0.261295299821549;-0.162431002244866;-0.0590721654679267;0.0428224564640117;0.136353577494621;0.214419645034196;0.270595017995203;0.3;0.3;0.270595017995203;0.214419645034197;0.136353577494621;0.0428224564640117;-0.0590721654679272;-0.162431002244866;-0.261295299821549;-0.351142897903598;-0.429101486284393;-0.493898700679596;-0.545613372911291;-0.585313960587765;-0.614669052650221;-0.635596791265365;-0.649993705682142;-0.659557092517913;-0.665694484610412;-0.669501461496823;-0.671784765024537
-0.657057612612996;-0.654808911972943;-0.651059628858704;-0.645015247391611;-0.635596791265365;-0.621418058446513;-0.60080747441879;-0.57189725135451;-0.532798316046526;-0.481867366597159;-0.418052137603031;-0.341274991918391;-0.252789011468547;-0.155422977325161;-0.0536305175867164;0.0467199171124967;0.138833597651944;0.215716593675888;0.27104064306284;0.3;0.3;0.27104064306284;0.215716593675888;0.138833597651944;0.0467199171124967;-0.0536305175867168;-0.15542297732516;-0.252789011468546;-0.341274991918391;-0.418052137603031;-0.481867366597159;-0.532798316046526;-0.57189725135451;-0.60080747441879;-0.621418058446513;-0.635596791265365;-0.645015247391611;-0.651059628858704;-0.654808911972943;-0.657057612612996
-0.635649831244581;-0.633451430284538;-0.629786012375633;-0.623876833633276;-0.614669052650221;-0.60080747441879;-0.580657914754623;-0.552394365126211;-0.514170007740997;-0.464378298621919;-0.401990509786332;-0.326930740701853;-0.240424043942641;-0.145235925469306;-0.0457203931533225;0.0523853698166716;0.14243862106948;0.217601872797848;0.271688415541435;0.3;0.3;0.271688415541435;0.217601872797848;0.14243862106948;0.0523853698166716;-0.045720393153323;-0.145235925469305;-0.240424043942641;-0.326930740701853;-0.401990509786332;-0.464378298621919;-0.514170007740997;-0.552394365126211;-0.580657914754623;-0.60080747441879;-0.614669052650221;-0.623876833633276;-0.629786012375633;-0.633451430284538;-0.635649831244581
-0.605621388875373;-0.603493542683074;-0.599945761508298;-0.594226230032887;-0.585313960587765;-0.57189725135451;-0.552394365126211;-0.525037896697223;-0.48804029944653;-0.439846589298667;-0.379461053933377;-0.306810228745357;-0.223079849868582;-0.130946668011874;-0.0346249549295423;0.060332233487178;0.147495344887337;0.220246331580819;0.272597038355126;0.3;0.3;0.272597038355126;0.220246331580819;0.147495344887337;0.060332233487178;-0.0346249549295428;-0.130946668011874;-0.223079849868582;-0.306810228745357;-0.379461053933377;-0.439846589298667;-0.48804029944653;-0.525037896697223;-0.552394365126211;-0.57189725135451;-0.585313960587765;-0.594226230032887;-0.599945761508298;-0.603493542683074;-0.605621388875373
-0.565010144784218;-0.562977718689285;-0.559589032484042;-0.554125984889962;-0.545613372911291;-0.532798316046526;-0.514170007740997;-0.48804029944653;-0.452701804411389;-0.406669269507966;-0.348991633653906;-0.279598726654852;-0.199623112071612;-0.111621505709078;-0.0196191965733805;0.0710797779756327;0.154334189298365;0.223822766209156;0.273825883408756;0.3;0.3;0.273825883408756;0.223822766209156;0.154334189298365;0.0710797779756327;-0.019619196573381;-0.111621505709078;-0.199623112071612;-0.279598726654853;-0.348991633653906;-0.406669269507966;-0.452701804411389;-0.48804029944653;-0.514170007740997;-0.532798316046526;-0.545613372911291;-0.554125984889962;-0.559589032484042;-0.562977718689285;-0.565010144784218
-0.512109235754602;-0.510201105529036;-0.507019659183065;-0.501890711929358;-0.493898700679596;-0.481867366597159;-0.464378298621919;-0.439846589298667;-0.406669269507966;-0.363451918861065;-0.309301639750457;-0.244152553338471;-0.169067959672345;-0.0864482150148035;-7.24361752523217e-05;0.0850797153328662;0.163242586323668;0.228481491819712;0.275426598231666;0.3;0.3;0.275426598231666;0.228481491819712;0.163242586323668;0.0850797153328662;-7.24361752526548e-05;-0.0864482150148034;-0.169067959672344;-0.244152553338471;-0.309301639750457;-0.363451918861065;-0.406669269507966;-0.439846589298667;-0.464378298621919;-0.481867366597159;-0.493898700679596;-0.501890711929358;-0.507019659183065;-0.510201105529036;-0.512109235754602
